,位置,地铁,小区,房屋户型,房屋朝向,月租金,楼层,面积
18,浦东 御桥,暂无数据,建华铂中环,2室1厅2卫,南,5000,低楼层 (共9层),50平米
19,浦东 洋泾,距地铁6号线民生路752米,第五大道,2室2厅1卫  整租,南,9300,高楼层 (共16层),105.76平米
20,闵行 七宝,暂无数据,白雪公主,2室2厅1卫,南,6000,高楼层 (共6层),80.67平米
21,闸北 彭浦,暂无数据,兴泉小区,2室1厅1卫,南,4200,中楼层 (共6层),64.17平米
22,长宁 天山,距地铁2号线威宁路502米,天山怡景苑,2室2厅1卫  整租,南,12000,低楼层 (共17层),89.51平米
23,闵行 春申,暂无数据,春申景城MIDTOWN,3室2厅2卫  整租,南,13500,高楼层 (共25层),154.56平米
24,黄浦 南京东路,距地铁1号线人民广场486米,中福城,2室2厅1卫  整租,南,13500,低楼层 (共15层),94.57平米
25,虹口 鲁迅公园,距地铁3号线虹口足球场527米,何家宅小区,3室0厅1卫,南,6300,高楼层 (共7层),67.61平米
26,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,5500,低楼层 (共14层),128.28平米
27,徐汇 徐家汇,距地铁1号线徐家汇462米,天钥花苑,1室1厅1卫,南,15000,低楼层 (共10层),45平米
28,宝山 上大,暂无数据,金地艺境(商业类),1室1厅1卫,西,3000,低楼层 (共3层),45.32平米
29,浦东 航头,暂无数据,金地艺华年(别墅),4室2厅1卫,南,11000,低楼层 (共4层),209平米
30,浦东 陆家嘴,距地铁2号线东昌路539米,东昌新村,2室1厅1卫,南,6500,高楼层 (共6层),39.94平米
31,奉贤 奉贤金汇,暂无数据,东原郦湾,4室2厅4卫,南,3000,低楼层 (共3层),135.16平米
32,闸北 彭浦,距地铁1号线共康路360米,共和新路4605弄,1室1厅1卫,西南,11000,中楼层 (共13层),93平米
33,宝山 上大,暂无数据,经纬阳光水岸家园(一期),2室1厅1卫,南,4500,中楼层 (共8层),72.06平米
34,徐汇 华东理工,暂无数据,书香苑,2室1厅1卫,南 北,5500,高楼层 (共6层),83平米
35,长宁 西郊,暂无数据,雅园,2室2厅1卫,南,8000,中楼层 (共7层),96平米
36,徐汇 田林,距地铁9号线桂林路358米,宜山路691弄,3室0厅1卫,南,7000,低楼层 (共6层),47平米
37,闵行 梅陇,暂无数据,晶欣坊,3室1厅1卫,南,4500,中楼层 (共26层),89.8平米
38,静安 曹家渡,距地铁2号线江苏路614米,静安城,2室2厅1卫  整租,南,9500,中楼层 (共32层),109.11平米
39,闸北 西藏北路,距地铁8号线中兴路810米,和源馨苑,2室1厅1卫,南,8800,高楼层 (共35层),88.56平米
40,浦东 塘桥,距地铁4号线塘桥573米,宁阳小区,1室1厅1卫,南,3800,高楼层 (共6层),35.26平米
41,闵行 金汇,距地铁10号线(新江湾城-航中路)龙柏新村812米,新东苑国际酒店式公寓,1室1厅1卫,南,7000,中楼层 (共11层),60.19平米
42,浦东 杨东,距地铁2号线上海科技馆840米,香梅花园,4室2厅2卫,西南,30000,高楼层 (共33层),190.43平米
43,长宁 天山,距地铁2号线威宁路658米,天山怡景苑,2室2厅1卫,南,14000,中楼层 (共16层),88.58平米
44,静安 江宁路,距地铁1号线汉中路1106米,句容小区,1室1厅1卫  整租,南,6500,低楼层 (共6层),44.02平米
45,闵行 马桥,暂无数据,中房森林别墅,4室3厅4卫,东,15000,低楼层 (共2层),385.14平米
46,宝山 淞南,暂无数据,长江路440弄,1室1厅1卫  整租,南,3300,低楼层 (共6层),39.84平米
47,青浦 盈浦,暂无数据,西部花苑,3室2厅1卫,南,3500,中楼层 (共6层),93.22平米
48,浦东 御桥,暂无数据,建华铂中环,2室1厅2卫,南,5000,低楼层 (共9层),50平米
49,浦东 洋泾,距地铁6号线民生路752米,第五大道,2室2厅1卫  整租,南,9300,高楼层 (共16层),105.76平米
50,闵行 七宝,暂无数据,白雪公主,2室2厅1卫,南,6000,高楼层 (共6层),80.67平米
51,闸北 彭浦,暂无数据,兴泉小区,2室1厅1卫,南,4200,中楼层 (共6层),64.17平米
52,长宁 天山,距地铁2号线威宁路502米,天山怡景苑,2室2厅1卫  整租,南,12000,低楼层 (共17层),89.51平米
53,闵行 春申,暂无数据,春申景城MIDTOWN,3室2厅2卫  整租,南,13500,高楼层 (共25层),154.56平米
54,黄浦 南京东路,距地铁1号线人民广场486米,中福城,2室2厅1卫  整租,南,13500,低楼层 (共15层),94.57平米
55,虹口 鲁迅公园,距地铁3号线虹口足球场527米,何家宅小区,3室0厅1卫,南,6300,高楼层 (共7层),67.61平米
56,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,5500,低楼层 (共14层),128.28平米
57,徐汇 徐家汇,距地铁1号线徐家汇462米,天钥花苑,1室1厅1卫,南,15000,低楼层 (共10层),45平米
58,宝山 上大,暂无数据,金地艺境(商业类),1室1厅1卫,西,3000,低楼层 (共3层),45.32平米
59,浦东 航头,暂无数据,金地艺华年(别墅),4室2厅1卫,南,11000,低楼层 (共4层),209平米
60,浦东 陆家嘴,距地铁2号线东昌路539米,东昌新村,2室1厅1卫,南,6500,高楼层 (共6层),39.94平米
61,奉贤 奉贤金汇,暂无数据,东原郦湾,4室2厅4卫,南,3000,低楼层 (共3层),135.16平米
62,闸北 彭浦,距地铁1号线共康路360米,共和新路4605弄,1室1厅1卫,西南,11000,中楼层 (共13层),93平米
63,宝山 上大,暂无数据,经纬阳光水岸家园(一期),2室1厅1卫,南,4500,中楼层 (共8层),72.06平米
64,徐汇 华东理工,暂无数据,书香苑,2室1厅1卫,南 北,5500,高楼层 (共6层),83平米
65,长宁 西郊,暂无数据,雅园,2室2厅1卫,南,8000,中楼层 (共7层),96平米
66,徐汇 田林,距地铁9号线桂林路358米,宜山路691弄,3室0厅1卫,南,7000,低楼层 (共6层),47平米
67,闵行 梅陇,暂无数据,晶欣坊,3室1厅1卫,南,4500,中楼层 (共26层),89.8平米
68,静安 曹家渡,距地铁2号线江苏路614米,静安城,2室2厅1卫  整租,南,9500,中楼层 (共32层),109.11平米
69,闸北 西藏北路,距地铁8号线中兴路810米,和源馨苑,2室1厅1卫,南,8800,高楼层 (共35层),88.56平米
70,浦东 塘桥,距地铁4号线塘桥573米,宁阳小区,1室1厅1卫,南,3800,高楼层 (共6层),35.26平米
71,闵行 金汇,距地铁10号线(新江湾城-航中路)龙柏新村812米,新东苑国际酒店式公寓,1室1厅1卫,南,7000,中楼层 (共11层),60.19平米
72,浦东 杨东,距地铁2号线上海科技馆840米,香梅花园,4室2厅2卫,西南,30000,高楼层 (共33层),190.43平米
73,长宁 天山,距地铁2号线威宁路658米,天山怡景苑,2室2厅1卫,南,14000,中楼层 (共16层),88.58平米
74,静安 江宁路,距地铁1号线汉中路1106米,句容小区,1室1厅1卫  整租,南,6500,低楼层 (共6层),44.02平米
75,闵行 马桥,暂无数据,中房森林别墅,4室3厅4卫,东,15000,低楼层 (共2层),385.14平米
76,宝山 淞南,暂无数据,长江路440弄,1室1厅1卫  整租,南,3300,低楼层 (共6层),39.84平米
77,青浦 盈浦,暂无数据,西部花苑,3室2厅1卫,南,3500,中楼层 (共6层),93.22平米
78,浦东 御桥,暂无数据,建华铂中环,2室1厅2卫,南,5000,低楼层 (共9层),50平米
79,浦东 洋泾,距地铁6号线民生路752米,第五大道,2室2厅1卫  整租,南,9300,高楼层 (共16层),105.76平米
80,闵行 七宝,暂无数据,白雪公主,2室2厅1卫,南,6000,高楼层 (共6层),80.67平米
81,闸北 彭浦,暂无数据,兴泉小区,2室1厅1卫,南,4200,中楼层 (共6层),64.17平米
82,长宁 天山,距地铁2号线威宁路502米,天山怡景苑,2室2厅1卫  整租,南,12000,低楼层 (共17层),89.51平米
83,闵行 春申,暂无数据,春申景城MIDTOWN,3室2厅2卫  整租,南,13500,高楼层 (共25层),154.56平米
84,黄浦 南京东路,距地铁1号线人民广场486米,中福城,2室2厅1卫  整租,南,13500,低楼层 (共15层),94.57平米
85,虹口 鲁迅公园,距地铁3号线虹口足球场527米,何家宅小区,3室0厅1卫,南,6300,高楼层 (共7层),67.61平米
86,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,5500,低楼层 (共14层),128.28平米
87,徐汇 徐家汇,距地铁1号线徐家汇462米,天钥花苑,1室1厅1卫,南,15000,低楼层 (共10层),45平米
88,宝山 上大,暂无数据,金地艺境(商业类),1室1厅1卫,西,3000,低楼层 (共3层),45.32平米
89,浦东 航头,暂无数据,金地艺华年(别墅),4室2厅1卫,南,11000,低楼层 (共4层),209平米
90,浦东 陆家嘴,距地铁2号线东昌路539米,东昌新村,2室1厅1卫,南,6500,高楼层 (共6层),39.94平米
91,奉贤 奉贤金汇,暂无数据,东原郦湾,4室2厅4卫,南,3000,低楼层 (共3层),135.16平米
92,闸北 彭浦,距地铁1号线共康路360米,共和新路4605弄,1室1厅1卫,西南,11000,中楼层 (共13层),93平米
93,宝山 上大,暂无数据,经纬阳光水岸家园(一期),2室1厅1卫,南,4500,中楼层 (共8层),72.06平米
94,徐汇 华东理工,暂无数据,书香苑,2室1厅1卫,南 北,5500,高楼层 (共6层),83平米
95,长宁 西郊,暂无数据,雅园,2室2厅1卫,南,8000,中楼层 (共7层),96平米
96,徐汇 田林,距地铁9号线桂林路358米,宜山路691弄,3室0厅1卫,南,7000,低楼层 (共6层),47平米
97,闵行 梅陇,暂无数据,晶欣坊,3室1厅1卫,南,4500,中楼层 (共26层),89.8平米
98,静安 曹家渡,距地铁2号线江苏路614米,静安城,2室2厅1卫  整租,南,9500,中楼层 (共32层),109.11平米
99,闸北 西藏北路,距地铁8号线中兴路810米,和源馨苑,2室1厅1卫,南,8800,高楼层 (共35层),88.56平米
100,浦东 塘桥,距地铁4号线塘桥573米,宁阳小区,1室1厅1卫,南,3800,高楼层 (共6层),35.26平米
101,闵行 金汇,距地铁10号线(新江湾城-航中路)龙柏新村812米,新东苑国际酒店式公寓,1室1厅1卫,南,7000,中楼层 (共11层),60.19平米
102,浦东 杨东,距地铁2号线上海科技馆840米,香梅花园,4室2厅2卫,西南,30000,高楼层 (共33层),190.43平米
103,长宁 天山,距地铁2号线威宁路658米,天山怡景苑,2室2厅1卫,南,14000,中楼层 (共16层),88.58平米
104,静安 江宁路,距地铁1号线汉中路1106米,句容小区,1室1厅1卫  整租,南,6500,低楼层 (共6层),44.02平米
105,闵行 马桥,暂无数据,中房森林别墅,4室3厅4卫,东,15000,低楼层 (共2层),385.14平米
106,宝山 淞南,暂无数据,长江路440弄,1室1厅1卫  整租,南,3300,低楼层 (共6层),39.84平米
107,青浦 盈浦,暂无数据,西部花苑,3室2厅1卫,南,3500,中楼层 (共6层),93.22平米
108,浦东 御桥,暂无数据,建华铂中环,2室1厅2卫,南,5000,低楼层 (共9层),50平米
109,浦东 洋泾,距地铁6号线民生路752米,第五大道,2室2厅1卫  整租,南,9300,高楼层 (共16层),105.76平米
110,闵行 七宝,暂无数据,白雪公主,2室2厅1卫,南,6000,高楼层 (共6层),80.67平米
111,闸北 彭浦,暂无数据,兴泉小区,2室1厅1卫,南,4200,中楼层 (共6层),64.17平米
112,长宁 天山,距地铁2号线威宁路502米,天山怡景苑,2室2厅1卫  整租,南,12000,低楼层 (共17层),89.51平米
113,闵行 春申,暂无数据,春申景城MIDTOWN,3室2厅2卫  整租,南,13500,高楼层 (共25层),154.56平米
114,黄浦 南京东路,距地铁1号线人民广场486米,中福城,2室2厅1卫  整租,南,13500,低楼层 (共15层),94.57平米
115,虹口 鲁迅公园,距地铁3号线虹口足球场527米,何家宅小区,3室0厅1卫,南,6300,高楼层 (共7层),67.61平米
116,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,5500,低楼层 (共14层),128.28平米
117,徐汇 徐家汇,距地铁1号线徐家汇462米,天钥花苑,1室1厅1卫,南,15000,低楼层 (共10层),45平米
118,宝山 上大,暂无数据,金地艺境(商业类),1室1厅1卫,西,3000,低楼层 (共3层),45.32平米
119,浦东 航头,暂无数据,金地艺华年(别墅),4室2厅1卫,南,11000,低楼层 (共4层),209平米
120,浦东 陆家嘴,距地铁2号线东昌路539米,东昌新村,2室1厅1卫,南,6500,高楼层 (共6层),39.94平米
121,奉贤 奉贤金汇,暂无数据,东原郦湾,4室2厅4卫,南,3000,低楼层 (共3层),135.16平米
122,闸北 彭浦,距地铁1号线共康路360米,共和新路4605弄,1室1厅1卫,西南,11000,中楼层 (共13层),93平米
123,宝山 上大,暂无数据,经纬阳光水岸家园(一期),2室1厅1卫,南,4500,中楼层 (共8层),72.06平米
124,徐汇 华东理工,暂无数据,书香苑,2室1厅1卫,南 北,5500,高楼层 (共6层),83平米
125,长宁 西郊,暂无数据,雅园,2室2厅1卫,南,8000,中楼层 (共7层),96平米
126,徐汇 田林,距地铁9号线桂林路358米,宜山路691弄,3室0厅1卫,南,7000,低楼层 (共6层),47平米
127,闵行 梅陇,暂无数据,晶欣坊,3室1厅1卫,南,4500,中楼层 (共26层),89.8平米
128,静安 曹家渡,距地铁2号线江苏路614米,静安城,2室2厅1卫  整租,南,9500,中楼层 (共32层),109.11平米
129,闸北 西藏北路,距地铁8号线中兴路810米,和源馨苑,2室1厅1卫,南,8800,高楼层 (共35层),88.56平米
130,浦东 塘桥,距地铁4号线塘桥573米,宁阳小区,1室1厅1卫,南,3800,高楼层 (共6层),35.26平米
131,闵行 金汇,距地铁10号线(新江湾城-航中路)龙柏新村812米,新东苑国际酒店式公寓,1室1厅1卫,南,7000,中楼层 (共11层),60.19平米
132,浦东 杨东,距地铁2号线上海科技馆840米,香梅花园,4室2厅2卫,西南,30000,高楼层 (共33层),190.43平米
133,长宁 天山,距地铁2号线威宁路658米,天山怡景苑,2室2厅1卫,南,14000,中楼层 (共16层),88.58平米
134,静安 江宁路,距地铁1号线汉中路1106米,句容小区,1室1厅1卫  整租,南,6500,低楼层 (共6层),44.02平米
135,闵行 马桥,暂无数据,中房森林别墅,4室3厅4卫,东,15000,低楼层 (共2层),385.14平米
136,宝山 淞南,暂无数据,长江路440弄,1室1厅1卫  整租,南,3300,低楼层 (共6层),39.84平米
137,青浦 盈浦,暂无数据,西部花苑,3室2厅1卫,南,3500,中楼层 (共6层),93.22平米
138,浦东 御桥,暂无数据,建华铂中环,2室1厅2卫,南,5000,低楼层 (共9层),50平米
139,浦东 洋泾,距地铁6号线民生路752米,第五大道,2室2厅1卫  整租,南,9300,高楼层 (共16层),105.76平米
140,闵行 七宝,暂无数据,白雪公主,2室2厅1卫,南,6000,高楼层 (共6层),80.67平米
141,闸北 彭浦,暂无数据,兴泉小区,2室1厅1卫,南,4200,中楼层 (共6层),64.17平米
142,长宁 天山,距地铁2号线威宁路502米,天山怡景苑,2室2厅1卫  整租,南,12000,低楼层 (共17层),89.51平米
143,闵行 春申,暂无数据,春申景城MIDTOWN,3室2厅2卫  整租,南,13500,高楼层 (共25层),154.56平米
144,黄浦 南京东路,距地铁1号线人民广场486米,中福城,2室2厅1卫  整租,南,13500,低楼层 (共15层),94.57平米
145,虹口 鲁迅公园,距地铁3号线虹口足球场527米,何家宅小区,3室0厅1卫,南,6300,高楼层 (共7层),67.61平米
146,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,5500,低楼层 (共14层),128.28平米
147,徐汇 徐家汇,距地铁1号线徐家汇462米,天钥花苑,1室1厅1卫,南,15000,低楼层 (共10层),45平米
148,宝山 上大,暂无数据,金地艺境(商业类),1室1厅1卫,西,3000,低楼层 (共3层),45.32平米
149,浦东 航头,暂无数据,金地艺华年(别墅),4室2厅1卫,南,11000,低楼层 (共4层),209平米
150,浦东 陆家嘴,距地铁2号线东昌路539米,东昌新村,2室1厅1卫,南,6500,高楼层 (共6层),39.94平米
151,奉贤 奉贤金汇,暂无数据,东原郦湾,4室2厅4卫,南,3000,低楼层 (共3层),135.16平米
152,闸北 彭浦,距地铁1号线共康路360米,共和新路4605弄,1室1厅1卫,西南,11000,中楼层 (共13层),93平米
153,宝山 上大,暂无数据,经纬阳光水岸家园(一期),2室1厅1卫,南,4500,中楼层 (共8层),72.06平米
154,徐汇 华东理工,暂无数据,书香苑,2室1厅1卫,南 北,5500,高楼层 (共6层),83平米
155,长宁 西郊,暂无数据,雅园,2室2厅1卫,南,8000,中楼层 (共7层),96平米
156,徐汇 田林,距地铁9号线桂林路358米,宜山路691弄,3室0厅1卫,南,7000,低楼层 (共6层),47平米
157,闵行 梅陇,暂无数据,晶欣坊,3室1厅1卫,南,4500,中楼层 (共26层),89.8平米
158,静安 曹家渡,距地铁2号线江苏路614米,静安城,2室2厅1卫  整租,南,9500,中楼层 (共32层),109.11平米
159,闸北 西藏北路,距地铁8号线中兴路810米,和源馨苑,2室1厅1卫,南,8800,高楼层 (共35层),88.56平米
160,浦东 塘桥,距地铁4号线塘桥573米,宁阳小区,1室1厅1卫,南,3800,高楼层 (共6层),35.26平米
161,闵行 金汇,距地铁10号线(新江湾城-航中路)龙柏新村812米,新东苑国际酒店式公寓,1室1厅1卫,南,7000,中楼层 (共11层),60.19平米
162,浦东 杨东,距地铁2号线上海科技馆840米,香梅花园,4室2厅2卫,西南,30000,高楼层 (共33层),190.43平米
163,长宁 天山,距地铁2号线威宁路658米,天山怡景苑,2室2厅1卫,南,14000,中楼层 (共16层),88.58平米
164,静安 江宁路,距地铁1号线汉中路1106米,句容小区,1室1厅1卫  整租,南,6500,低楼层 (共6层),44.02平米
165,闵行 马桥,暂无数据,中房森林别墅,4室3厅4卫,东,15000,低楼层 (共2层),385.14平米
166,宝山 淞南,暂无数据,长江路440弄,1室1厅1卫  整租,南,3300,低楼层 (共6层),39.84平米
167,青浦 盈浦,暂无数据,西部花苑,3室2厅1卫,南,3500,中楼层 (共6层),93.22平米
168,浦东 御桥,暂无数据,建华铂中环,2室1厅2卫,南,5000,低楼层 (共9层),50平米
169,浦东 洋泾,距地铁6号线民生路752米,第五大道,2室2厅1卫  整租,南,9300,高楼层 (共16层),105.76平米
170,闵行 七宝,暂无数据,白雪公主,2室2厅1卫,南,6000,高楼层 (共6层),80.67平米
171,闸北 彭浦,暂无数据,兴泉小区,2室1厅1卫,南,4200,中楼层 (共6层),64.17平米
172,长宁 天山,距地铁2号线威宁路502米,天山怡景苑,2室2厅1卫  整租,南,12000,低楼层 (共17层),89.51平米
173,闵行 春申,暂无数据,春申景城MIDTOWN,3室2厅2卫  整租,南,13500,高楼层 (共25层),154.56平米
174,黄浦 南京东路,距地铁1号线人民广场486米,中福城,2室2厅1卫  整租,南,13500,低楼层 (共15层),94.57平米
175,虹口 鲁迅公园,距地铁3号线虹口足球场527米,何家宅小区,3室0厅1卫,南,6300,高楼层 (共7层),67.61平米
176,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,5500,低楼层 (共14层),128.28平米
177,徐汇 徐家汇,距地铁1号线徐家汇462米,天钥花苑,1室1厅1卫,南,15000,低楼层 (共10层),45平米
178,宝山 上大,暂无数据,金地艺境(商业类),1室1厅1卫,西,3000,低楼层 (共3层),45.32平米
179,浦东 航头,暂无数据,金地艺华年(别墅),4室2厅1卫,南,11000,低楼层 (共4层),209平米
180,浦东 陆家嘴,距地铁2号线东昌路539米,东昌新村,2室1厅1卫,南,6500,高楼层 (共6层),39.94平米
181,奉贤 奉贤金汇,暂无数据,东原郦湾,4室2厅4卫,南,3000,低楼层 (共3层),135.16平米
182,闸北 彭浦,距地铁1号线共康路360米,共和新路4605弄,1室1厅1卫,西南,11000,中楼层 (共13层),93平米
183,宝山 上大,暂无数据,经纬阳光水岸家园(一期),2室1厅1卫,南,4500,中楼层 (共8层),72.06平米
184,徐汇 华东理工,暂无数据,书香苑,2室1厅1卫,南 北,5500,高楼层 (共6层),83平米
185,长宁 西郊,暂无数据,雅园,2室2厅1卫,南,8000,中楼层 (共7层),96平米
186,徐汇 田林,距地铁9号线桂林路358米,宜山路691弄,3室0厅1卫,南,7000,低楼层 (共6层),47平米
187,闵行 梅陇,暂无数据,晶欣坊,3室1厅1卫,南,4500,中楼层 (共26层),89.8平米
188,静安 曹家渡,距地铁2号线江苏路614米,静安城,2室2厅1卫  整租,南,9500,中楼层 (共32层),109.11平米
189,闸北 西藏北路,距地铁8号线中兴路810米,和源馨苑,2室1厅1卫,南,8800,高楼层 (共35层),88.56平米
190,浦东 塘桥,距地铁4号线塘桥573米,宁阳小区,1室1厅1卫,南,3800,高楼层 (共6层),35.26平米
191,闵行 金汇,距地铁10号线(新江湾城-航中路)龙柏新村812米,新东苑国际酒店式公寓,1室1厅1卫,南,7000,中楼层 (共11层),60.19平米
192,浦东 杨东,距地铁2号线上海科技馆840米,香梅花园,4室2厅2卫,西南,30000,高楼层 (共33层),190.43平米
193,长宁 天山,距地铁2号线威宁路658米,天山怡景苑,2室2厅1卫,南,14000,中楼层 (共16层),88.58平米
194,静安 江宁路,距地铁1号线汉中路1106米,句容小区,1室1厅1卫  整租,南,6500,低楼层 (共6层),44.02平米
195,闵行 马桥,暂无数据,中房森林别墅,4室3厅4卫,东,15000,低楼层 (共2层),385.14平米
196,宝山 淞南,暂无数据,长江路440弄,1室1厅1卫  整租,南,3300,低楼层 (共6层),39.84平米
197,青浦 盈浦,暂无数据,西部花苑,3室2厅1卫,南,3500,中楼层 (共6层),93.22平米
198,浦东 御桥,暂无数据,建华铂中环,2室1厅2卫,南,5000,低楼层 (共9层),50平米
199,浦东 洋泾,距地铁6号线民生路752米,第五大道,2室2厅1卫  整租,南,9300,高楼层 (共16层),105.76平米
200,闵行 七宝,暂无数据,白雪公主,2室2厅1卫,南,6000,高楼层 (共6层),80.67平米
201,闸北 彭浦,暂无数据,兴泉小区,2室1厅1卫,南,4200,中楼层 (共6层),64.17平米
202,长宁 天山,距地铁2号线威宁路502米,天山怡景苑,2室2厅1卫  整租,南,12000,低楼层 (共17层),89.51平米
203,闵行 春申,暂无数据,春申景城MIDTOWN,3室2厅2卫  整租,南,13500,高楼层 (共25层),154.56平米
204,黄浦 南京东路,距地铁1号线人民广场486米,中福城,2室2厅1卫  整租,南,13500,低楼层 (共15层),94.57平米
205,虹口 鲁迅公园,距地铁3号线虹口足球场527米,何家宅小区,3室0厅1卫,南,6300,高楼层 (共7层),67.61平米
206,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,5500,低楼层 (共14层),128.28平米
207,徐汇 徐家汇,距地铁1号线徐家汇462米,天钥花苑,1室1厅1卫,南,15000,低楼层 (共10层),45平米
208,宝山 上大,暂无数据,金地艺境(商业类),1室1厅1卫,西,3000,低楼层 (共3层),45.32平米
209,浦东 航头,暂无数据,金地艺华年(别墅),4室2厅1卫,南,11000,低楼层 (共4层),209平米
210,浦东 陆家嘴,距地铁2号线东昌路539米,东昌新村,2室1厅1卫,南,6500,高楼层 (共6层),39.94平米
211,奉贤 奉贤金汇,暂无数据,东原郦湾,4室2厅4卫,南,3000,低楼层 (共3层),135.16平米
212,闸北 彭浦,距地铁1号线共康路360米,共和新路4605弄,1室1厅1卫,西南,11000,中楼层 (共13层),93平米
213,宝山 上大,暂无数据,经纬阳光水岸家园(一期),2室1厅1卫,南,4500,中楼层 (共8层),72.06平米
214,徐汇 华东理工,暂无数据,书香苑,2室1厅1卫,南 北,5500,高楼层 (共6层),83平米
215,长宁 西郊,暂无数据,雅园,2室2厅1卫,南,8000,中楼层 (共7层),96平米
216,徐汇 田林,距地铁9号线桂林路358米,宜山路691弄,3室0厅1卫,南,7000,低楼层 (共6层),47平米
217,闵行 梅陇,暂无数据,晶欣坊,3室1厅1卫,南,4500,中楼层 (共26层),89.8平米
218,静安 曹家渡,距地铁2号线江苏路614米,静安城,2室2厅1卫  整租,南,9500,中楼层 (共32层),109.11平米
219,闸北 西藏北路,距地铁8号线中兴路810米,和源馨苑,2室1厅1卫,南,8800,高楼层 (共35层),88.56平米
220,浦东 塘桥,距地铁4号线塘桥573米,宁阳小区,1室1厅1卫,南,3800,高楼层 (共6层),35.26平米
221,闵行 金汇,距地铁10号线(新江湾城-航中路)龙柏新村812米,新东苑国际酒店式公寓,1室1厅1卫,南,7000,中楼层 (共11层),60.19平米
222,浦东 杨东,距地铁2号线上海科技馆840米,香梅花园,4室2厅2卫,西南,30000,高楼层 (共33层),190.43平米
223,长宁 天山,距地铁2号线威宁路658米,天山怡景苑,2室2厅1卫,南,14000,中楼层 (共16层),88.58平米
224,静安 江宁路,距地铁1号线汉中路1106米,句容小区,1室1厅1卫  整租,南,6500,低楼层 (共6层),44.02平米
225,闵行 马桥,暂无数据,中房森林别墅,4室3厅4卫,东,15000,低楼层 (共2层),385.14平米
226,宝山 淞南,暂无数据,长江路440弄,1室1厅1卫  整租,南,3300,低楼层 (共6层),39.84平米
227,青浦 盈浦,暂无数据,西部花苑,3室2厅1卫,南,3500,中楼层 (共6层),93.22平米
228,浦东 御桥,暂无数据,建华铂中环,2室1厅2卫,南,5000,低楼层 (共9层),50平米
229,浦东 洋泾,距地铁6号线民生路752米,第五大道,2室2厅1卫  整租,南,9300,高楼层 (共16层),105.76平米
230,闵行 七宝,暂无数据,白雪公主,2室2厅1卫,南,6000,高楼层 (共6层),80.67平米
231,闸北 彭浦,暂无数据,兴泉小区,2室1厅1卫,南,4200,中楼层 (共6层),64.17平米
232,长宁 天山,距地铁2号线威宁路502米,天山怡景苑,2室2厅1卫  整租,南,12000,低楼层 (共17层),89.51平米
233,闵行 春申,暂无数据,春申景城MIDTOWN,3室2厅2卫  整租,南,13500,高楼层 (共25层),154.56平米
234,黄浦 南京东路,距地铁1号线人民广场486米,中福城,2室2厅1卫  整租,南,13500,低楼层 (共15层),94.57平米
